Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Stefan Ortega,de GER,GK,Nottingham Forest,eng Premier League,33.0,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,101.0,de GER,GK,eng Premier League,33-131,1992.0,3.0,3.0,270.0,3.0,4.0,1.33,12.0,8.0,66.7,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,1915,de GER,GK,eng Premier League,33-131,1992.0,3.0,0,0,0,,0.0,0.0,,,0,0,2404,de GER,GK,eng Premier League,33-131,1992.0,3,270,90,10.0,3.0,3,90.0,3,0,,0,0.33,1,4,-3,-1.0,-0.56,1915,de GER,GK,eng Premier League,33-131,1992.0,3.0,0,0,0,0,0,0,0,0,0,0
Lucas Perri,br BRA,GK,Leeds United,eng Premier League,28.0,1997.0,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,109.0,br BRA,GK,eng Premier League,28-097,1997.0,16.0,16.0,1440.0,16.0,29.0,1.81,63.0,38.0,60.3,4.0,6.0,6.0,3.0,18.8,4.0,4.0,0.0,0.0,2004,br BRA,GK,eng Premier League,28-097,1997.0,16.0,0,0,0,,0.0,0.0,,,0,0,2515,br BRA,GK,eng Premier League,28-097,1997.0,16,1440,90,53.3,16.0,16,90.0,16,0,,10,1.13,23,29,-6,-0.37,-0.02,2004,br BRA,GK,eng Premier League,28-097,1997.0,16.0,2,0,0,1,3,0,0,0,0,0
Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,26.0,1999.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,111.0,rs SRB,GK,eng Premier League,26-160,1999.0,30.0,30.0,2700.0,30.0,46.0,1.53,132.0,90.0,68.2,9.0,14.0,7.0,9.0,30.0,4.0,4.0,0.0,0.0,2010,rs SRB,GK,eng Premier League,26-160,1999.0,30.0,0,0,0,,0.0,0.0,,,0,0,2523,rs SRB,GK,eng Premier League,26-160,1999.0,30,2700,90,100.0,30.0,30,90.0,30,0,,0,1.37,44,46,-2,-0.07,,2010,rs SRB,GK,eng Premier League,26-160,1999.0,30.0,2,0,0,0,2,0,0,0,0,1
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,32.0,1994.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,112.0,eng ENG,GK,eng Premier League,32-010,1994.0,30.0,30.0,2700.0,30.0,35.0,1.17,113.0,81.0,70.8,12.0,7.0,11.0,10.0,33.3,3.0,2.0,1.0,0.0,2017,eng ENG,GK,eng Premier League,32-010,1994.0,30.0,0,0,0,,0.0,0.0,,,0,0,2532,eng ENG,GK,eng Premier League,32-010,1994.0,30,2700,90,100.0,30.0,30,90.0,30,0,,0,1.43,34,35,-1,-0.03,,2017,eng ENG,GK,eng Premier League,32-010,1994.0,30.0,2,0,0,0,6,0,0,0,1,0
Nick Pope,eng ENG,GK,Newcastle United,eng Premier League,33.0,1992.0,22,22,1966,21.8,0,0,0,0,0,0,1,0,0.0,114.0,eng ENG,GK,eng Premier League,33-332,1992.0,22.0,22.0,1966.0,21.8,32.0,1.46,97.0,67.0,69.1,8.0,4.0,10.0,7.0,31.8,2.0,2.0,0.0,0.0,2039,eng ENG,GK,eng Premier League,33-332,1992.0,21.8,0,1,1,100.0,0.05,0.05,0.0,0.0,0,0,2563,eng ENG,GK,eng Premier League,33-332,1992.0,22,1966,89,72.8,21.8,22,89.0,21,0,,3,1.27,30,32,-2,-0.09,-0.34,2039,eng ENG,GK,eng Premier League,33-332,1992.0,21.8,1,0,0,0,2,0,0,0,1,0
Aaron Ramsdale,eng ENG,GK,Newcastle United,eng Premier League,27.0,1998.0,9,8,734,8.2,0,0,0,0,0,0,1,0,0.0,119.0,eng ENG,GK,eng Premier League,27-307,1998.0,9.0,8.0,734.0,8.2,11.0,1.35,25.0,16.0,64.0,4.0,2.0,2.0,1.0,12.5,2.0,2.0,0.0,0.0,2077,eng ENG,GK,eng Premier League,27-307,1998.0,8.2,0,0,0,,0.0,0.0,,,0,0,2618,eng ENG,GK,eng Premier League,27-307,1998.0,9,734,82,27.2,8.2,8,90.0,8,1,14.0,21,1.56,13,11,2,0.25,0.34,2077,eng ENG,GK,eng Premier League,27-307,1998.0,8.2,1,0,0,0,0,0,0,0,0,0
David Raya,es ESP,GK,Arsenal,eng Premier League,30.0,1995.0,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,121.0,es ESP,GK,eng Premier League,30-183,1995.0,31.0,31.0,2790.0,31.0,22.0,0.71,72.0,49.0,69.4,21.0,7.0,3.0,15.0,48.4,0.0,0.0,0.0,0.0,2092,es ESP,GK,eng Premier League,30-183,1995.0,31.0,0,0,0,,0.0,0.0,,,0,0,2636,es ESP,GK,eng Premier League,30-183,1995.0,31,2790,90,100.0,31.0,31,90.0,31,0,,0,2.26,61,22,39,1.26,,2092,es ESP,GK,eng Premier League,30-183,1995.0,31.0,1,0,0,0,9,0,1,1,1,0
Robin Roefs,nl NED,GK,Sunderland,eng Premier League,23.0,2003.0,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,127.0,nl NED,GK,eng Premier League,23-059,2003.0,28.0,28.0,2520.0,28.0,34.0,1.21,115.0,84.0,72.2,9.0,10.0,9.0,8.0,28.6,3.0,2.0,1.0,0.0,2150,nl NED,GK,eng Premier League,23-059,2003.0,28.0,0,0,0,,0.0,0.0,,,0,0,2702,nl NED,GK,eng Premier League,23-059,2003.0,28,2520,90,93.3,28.0,28,90.0,28,0,,0,1.32,29,34,-5,-0.18,-0.18,2150,nl NED,GK,eng Premier League,23-059,2003.0,28.0,3,0,0,0,11,0,0,0,0,0
José Sá,pt POR,GK,Wolves,eng Premier League,33.0,1993.0,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,132.0,pt POR,GK,eng Premier League,33-059,1993.0,19.0,19.0,1710.0,19.0,30.0,1.58,78.0,50.0,64.1,3.0,6.0,10.0,4.0,21.1,2.0,2.0,0.0,0.0,2195,pt POR,GK,eng Premier League,33-059,1993.0,19.0,0,0,0,,0.0,0.0,,,0,0,2757,pt POR,GK,eng Premier League,33-059,1993.0,19,1710,90,61.3,19.0,19,90.0,19,0,,11,0.79,18,30,-12,-0.63,0.87,2195,pt POR,GK,eng Premier League,33-059,1993.0,19.0,2,0,0,0,6,0,0,0,0,0
Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,28.0,1997.0,28,28,2434,27.0,0,1,1,0,0,0,3,1,0.04,135.0,es ESP,GK,eng Premier League,28-119,1997.0,28.0,28.0,2434.0,27.0,33.0,1.22,107.0,74.0,70.1,12.0,8.0,8.0,9.0,32.1,1.0,1.0,0.0,0.0,2233,es ESP,GK,eng Premier League,28-119,1997.0,27.0,0,0,0,,0.0,0.0,,,0,0,2809,es ESP,GK,eng Premier League,28-119,1997.0,28,2434,87,90.1,27.0,28,87.0,27,0,,1,1.57,47,31,16,0.59,-0.09,2233,es ESP,GK,eng Premier League,28-119,1997.0,27.0,3,1,0,2,10,0,0,1,0,0
Matz Sels,be BEL,GK,Nottingham Forest,eng Premier League,34.0,1992.0,23,22,1948,21.6,0,0,0,0,0,0,2,0,0.0,140.0,be BEL,GK,eng Premier League,34-019,1992.0,23.0,22.0,1948.0,21.6,31.0,1.43,90.0,63.0,70.0,6.0,7.0,9.0,5.0,22.7,4.0,4.0,0.0,0.0,2302,be BEL,GK,eng Premier League,34-019,1992.0,21.6,0,0,0,,0.0,0.0,,,0,0,2892,be BEL,GK,eng Premier League,34-019,1992.0,23,1948,85,72.1,21.6,22,88.0,21,1,13.0,3,1.09,22,31,-9,-0.42,0.3,2302,be BEL,GK,eng Premier League,34-019,1992.0,21.6,2,0,0,0,3,0,0,0,1,0
James Trafford,eng ENG,GK,Manchester City,eng Premier League,23.0,2002.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,156.0,eng ENG,GK,eng Premier League,23-158,2002.0,3.0,3.0,270.0,3.0,4.0,1.33,14.0,11.0,78.6,1.0,0.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,2504,eng ENG,GK,eng Premier League,23-158,2002.0,3.0,0,0,0,,0.0,0.0,,,0,0,3157,eng ENG,GK,eng Premier League,23-158,2002.0,3,270,90,10.0,3.0,3,90.0,3,0,,27,1.0,5,4,1,0.33,-0.81,2504,eng ENG,GK,eng Premier League,23-158,2002.0,3.0,0,0,0,0,1,0,0,0,1,0
Hákon Valdimarsson,is ISL,GK,Brentford,eng Premier League,24.0,2001.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,161.0,is ISL,GK,eng Premier League,24-155,2001.0,1.0,1.0,90.0,1.0,3.0,3.0,4.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547,is ISL,GK,eng Premier League,24-155,2001.0,1.0,0,0,0,,0.0,0.0,,,0,0,3207,is ISL,GK,eng Premier League,24-155,2001.0,1,90,90,3.3,1.0,1,90.0,1,0,,29,3.0,4,3,1,1.0,0.9,2547,is ISL,GK,eng Premier League,24-155,2001.0,1.0,0,0,0,0,0,0,0,0,0,0
Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,23.0,2002.0,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,165.0,nl NED,GK,eng Premier League,23-211,2002.0,30.0,30.0,2700.0,30.0,36.0,1.2,112.0,80.0,72.3,10.0,10.0,10.0,7.0,23.3,6.0,5.0,1.0,0.0,2587,nl NED,GK,eng Premier League,23-211,2002.0,30.0,0,0,0,,0.0,0.0,,,0,0,3254,nl NED,GK,eng Premier League,23-211,2002.0,30,2700,90,100.0,30.0,30,90.0,30,0,,0,1.33,39,36,3,0.1,,2587,nl NED,GK,eng Premier League,23-211,2002.0,30.0,3,0,0,2,2,0,0,0,1,1
