Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26.0,1999.0,26,22,2008,22.3,2,0,2,2,0,0,3,0,0.09,199,nir NIR,DF,eng Premier League,26-176,1999.0,22.3,2,25,9,36.0,1.12,0.4,0.08,0.22,0,0,252,nir NIR,DF,eng Premier League,26-176,1999.0,26,2008,77,74.4,22.3,22,85.0,19,4,37.0,0,1.31,26,28,-2,-0.09,0.3,199,nir NIR,DF,eng Premier League,26-176,1999.0,22.3,3,0,0,25,27,3,0,19,16,0
Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,32.0,1993.0,13,1,336,3.7,2,0,2,2,0,0,0,0,0.54,217,eng ENG,MF,eng Premier League,32-102,1993.0,3.7,2,9,3,33.3,2.41,0.8,0.22,0.67,0,0,276,eng ENG,MF,eng Premier League,32-102,1993.0,13,336,26,12.4,3.7,1,81.0,0,12,21.0,1,1.77,6,6,0,0.0,-0.11,217,eng ENG,MF,eng Premier League,32-102,1993.0,3.7,0,0,0,2,3,0,0,2,9,0
Thierno Barry,fr FRA,FW,Everton,eng Premier League,23.0,2002.0,30,19,1630,18.1,6,0,6,6,0,0,3,0,0.33,222,fr FRA,FW,eng Premier League,23-147,2002.0,18.1,6,32,10,31.3,1.77,0.55,0.19,0.6,0,0,282,fr FRA,FW,eng Premier League,23-147,2002.0,30,1630,54,60.4,18.1,19,75.0,2,11,19.0,0,1.43,19,24,-5,-0.28,-0.61,222,fr FRA,FW,eng Premier League,23-147,2002.0,18.1,3,0,0,36,7,12,3,5,2,0
Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,26.0,1999.0,22,20,1814,20.2,1,0,1,1,0,0,5,0,0.05,227,ng NGA,DF,eng Premier League,26-076,1999.0,20.2,1,9,1,11.1,0.45,0.05,0.11,1.0,0,0,288,ng NGA,DF,eng Premier League,26-076,1999.0,22,1814,82,67.2,20.2,20,90.0,20,2,7.0,2,1.23,29,32,-3,-0.15,-0.15,227,ng NGA,DF,eng Premier League,26-076,1999.0,20.2,5,0,0,22,29,1,9,15,20,0
Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,eng Premier League,28.0,1997.0,20,17,1410,15.7,1,1,2,1,0,0,5,0,0.13,275,uy URU,MF,eng Premier League,28-265,1997.0,15.7,1,9,2,22.2,0.57,0.13,0.11,0.5,0,0,348,uy URU,MF,eng Premier League,28-265,1997.0,20,1410,71,52.2,15.7,17,79.0,9,3,21.0,1,1.2,21,21,0,0.0,0.49,275,uy URU,MF,eng Premier League,28-265,1997.0,15.7,5,0,0,15,3,1,7,24,21,0
Sander Berge,no NOR,MF,Fulham,eng Premier League,28.0,1998.0,30,29,2500,27.8,0,1,1,0,0,0,5,0,0.04,280,no NOR,MF,eng Premier League,28-031,1998.0,27.8,0,9,3,33.3,0.32,0.11,0.0,0.0,0,0,356,no NOR,MF,eng Premier League,28-031,1998.0,30,2500,83,92.6,27.8,29,86.0,21,1,17.0,0,1.37,36,41,-5,-0.18,-1.08,280,no NOR,MF,eng Premier League,28-031,1998.0,27.8,5,0,0,30,10,0,12,20,36,1
Lucas Bergvall,se SWE,MF,Tottenham Hotspur,eng Premier League,20.0,2006.0,17,10,805,8.9,1,2,3,1,0,0,2,0,0.34,282,se SWE,MF,eng Premier League,20-043,2006.0,8.9,1,10,5,50.0,1.12,0.56,0.1,0.2,0,0,358,se SWE,MF,eng Premier League,20-043,2006.0,17,805,47,29.8,8.9,10,67.0,0,7,19.0,3,1.12,12,13,-1,-0.11,0.17,282,se SWE,MF,eng Premier League,20-043,2006.0,8.9,2,0,0,18,5,3,17,2,12,0
Beto,gw GNB,FW,Everton,eng Premier League,28.0,1998.0,30,11,1132,12.6,4,0,4,4,0,0,2,0,0.32,294,gw GNB,FW,eng Premier League,28-045,1998.0,12.6,4,29,10,34.5,2.31,0.8,0.14,0.4,0,0,370,gw GNB,FW,eng Premier League,28-045,1998.0,30,1132,38,41.9,12.6,11,71.0,1,19,18.0,0,1.43,17,14,3,0.24,0.47,294,gw GNB,FW,eng Premier League,28-045,1998.0,12.6,2,0,0,26,11,7,2,1,4,0
Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,27.0,1999.0,17,13,1218,13.5,1,1,2,1,0,0,3,0,0.15,300,si SVN,DF,eng Premier League,27-040,1999.0,13.5,1,12,6,50.0,0.89,0.44,0.08,0.17,0,0,379,si SVN,DF,eng Premier League,27-040,1999.0,17,1218,72,45.1,13.5,13,86.0,10,4,25.0,9,1.0,19,21,-2,-0.15,0.4,300,si SVN,DF,eng Premier League,27-040,1999.0,13.5,3,0,0,15,7,0,1,16,11,0
Yves Bissouma,ml MLI,MF,Tottenham Hotspur,eng Premier League,29.0,1996.0,8,5,462,5.1,0,0,0,0,0,0,3,0,0.0,304,ml MLI,MF,eng Premier League,29-199,1996.0,5.1,0,5,2,40.0,0.97,0.39,0.0,0.0,0,0,384,ml MLI,MF,eng Premier League,29-199,1996.0,8,462,58,17.1,5.1,5,72.0,1,3,35.0,0,0.25,5,15,-10,-1.95,-2.07,304,ml MLI,MF,eng Premier League,29-199,1996.0,5.1,3,0,0,4,5,0,1,8,11,0
