Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33.0,1992.0,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,26.0,be BEL,GK,es La Liga,33-310,1992.0,28.0,28.0,2520.0,28.0,24.0,0.86,78.0,58.0,74.4,21.0,3.0,4.0,11.0,39.3,4.0,4.0,0.0,0.0,567,be BEL,GK,es La Liga,33-310,1992.0,28.0,0,0,0,,0.0,0.0,,,0,0,717,be BEL,GK,es La Liga,33-310,1992.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,2.36,60,24,36,1.29,,567,be BEL,GK,es La Liga,33-310,1992.0,28.0,1,0,0,1,2,0,0,0,1,0
Pablo Cuñat,es ESP,GK,Levante,es La Liga,23.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,27.0,es ESP,GK,es La Liga,23-323,2002.0,2.0,2.0,180.0,2.0,5.0,2.5,16.0,11.0,68.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,582,es ESP,GK,es La Liga,23-323,2002.0,2.0,0,0,0,,0.0,0.0,,,0,0,735,es ESP,GK,es La Liga,23-323,2002.0,2,180,90,7.1,2.0,2,90.0,2,0,,26,0.0,3,5,-2,-1.0,-0.46,582,es ESP,GK,es La Liga,23-323,2002.0,2.0,0,0,0,0,0,0,0,0,0,0
Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27.0,1998.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,28.0,de GER,GK,de Bundesliga,27-355,1998.0,26.0,26.0,2340.0,26.0,45.0,1.73,109.0,71.0,64.2,9.0,4.0,13.0,5.0,19.2,7.0,6.0,1.0,0.0,588,de GER,GK,de Bundesliga,27-355,1998.0,26.0,0,1,0,0.0,0.04,0.0,0.0,,0,0,744,de GER,GK,de Bundesliga,27-355,1998.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.19,31,45,-14,-0.54,,588,de GER,GK,de Bundesliga,27-355,1998.0,26.0,1,0,0,0,4,0,0,0,0,0
Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27.0,1998.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,30.0,nl NED,GK,fr Ligue 1,27-350,1998.0,4.0,4.0,360.0,4.0,8.0,2.0,19.0,11.0,57.9,3.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,616,nl NED,GK,fr Ligue 1,27-350,1998.0,4.0,0,0,0,,0.0,0.0,,,0,0,775,nl NED,GK,fr Ligue 1,27-350,1998.0,4,360,90,15.4,4.0,4,90.0,4,0,,22,2.25,15,8,7,1.75,1.16,616,nl NED,GK,fr Ligue 1,27-350,1998.0,4.0,0,0,0,0,0,0,0,0,0,0
Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,25.0,2001.0,3,2,226,2.5,0,0,0,0,0,0,0,0,0.0,31.0,mq MTQ,GK,fr Ligue 1,25-043,2001.0,3.0,2.0,226.0,2.5,4.0,1.59,11.0,7.0,63.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,618,mq MTQ,GK,fr Ligue 1,25-043,2001.0,2.5,0,0,0,,0.0,0.0,,,0,0,779,mq MTQ,GK,fr Ligue 1,25-043,2001.0,3,226,75,9.7,2.5,2,90.0,2,1,46.0,23,0.0,1,4,-3,-1.19,-0.6,618,mq MTQ,GK,fr Ligue 1,25-043,2001.0,2.5,0,0,0,0,1,0,0,0,0,0
Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29.0,1996.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,32.0,fr FRA,GK,fr Ligue 1,29-265,1996.0,5.0,5.0,450.0,5.0,3.0,0.6,17.0,14.0,82.4,3.0,1.0,1.0,4.0,80.0,0.0,0.0,0.0,0.0,640,fr FRA,GK,fr Ligue 1,29-265,1996.0,5.0,0,0,0,,0.0,0.0,,,0,0,805,fr FRA,GK,fr Ligue 1,29-265,1996.0,5,450,90,19.2,5.0,5,90.0,5,0,,16,2.0,6,3,3,0.6,0.12,640,fr FRA,GK,fr Ligue 1,29-265,1996.0,5.0,0,0,0,0,0,0,0,0,0,1
Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28.0,1997.0,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,33.0,it ITA,GK,it Serie A,28-233,1997.0,23.0,23.0,2070.0,23.0,22.0,0.96,67.0,46.0,68.7,12.0,7.0,4.0,9.0,39.1,2.0,1.0,0.0,1.0,645,it ITA,GK,it Serie A,28-233,1997.0,23.0,0,0,0,,0.0,0.0,,,0,0,811,it ITA,GK,it Serie A,28-233,1997.0,23,2070,90,79.3,23.0,23,90.0,23,0,,6,1.87,41,22,19,0.83,0.16,645,it ITA,GK,it Serie A,28-233,1997.0,23.0,1,0,0,0,5,0,0,0,0,0
Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32.0,1993.0,22,22,1935,21.5,0,1,1,0,0,0,1,0,0.05,34.0,sn SEN,GK,fr Ligue 1,32-268,1993.0,22.0,22.0,1935.0,21.5,29.0,1.35,80.0,56.0,68.8,5.0,7.0,10.0,6.0,27.3,5.0,4.0,1.0,0.0,662,sn SEN,GK,fr Ligue 1,32-268,1993.0,21.5,0,0,0,,0.0,0.0,,,0,0,833,sn SEN,GK,fr Ligue 1,32-268,1993.0,22,1935,88,82.7,21.5,22,88.0,21,0,,1,1.0,16,29,-13,-0.6,-0.83,662,sn SEN,GK,fr Ligue 1,32-268,1993.0,21.5,1,0,0,0,4,0,0,2,0,0
Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,32.0,1993.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,35.0,mk MKD,GK,es La Liga,32-082,1993.0,10.0,10.0,900.0,10.0,12.0,1.2,33.0,24.0,72.7,5.0,1.0,4.0,3.0,30.0,3.0,3.0,0.0,0.0,676,mk MKD,GK,es La Liga,32-082,1993.0,10.0,0,0,0,,0.0,0.0,,,0,0,849,mk MKD,GK,es La Liga,32-082,1993.0,10,900,90,35.7,10.0,10,90.0,10,0,,15,1.6,13,12,1,0.1,0.82,676,mk MKD,GK,es La Liga,32-082,1993.0,10.0,0,0,0,0,2,0,0,0,0,0
Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26.0,1999.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,36.0,sn SEN,GK,fr Ligue 1,26-121,1999.0,18.0,18.0,1620.0,18.0,33.0,1.83,91.0,63.0,68.1,6.0,2.0,10.0,3.0,16.7,6.0,4.0,1.0,1.0,688,sn SEN,GK,fr Ligue 1,26-121,1999.0,18.0,0,0,0,,0.0,0.0,,,0,0,862,sn SEN,GK,fr Ligue 1,26-121,1999.0,18,1620,90,69.2,18.0,18,90.0,18,0,,6,1.11,21,33,-12,-0.67,-0.17,688,sn SEN,GK,fr Ligue 1,26-121,1999.0,18.0,1,0,0,0,3,0,0,0,0,0
